t,satellite_count,mean_cn0_db_hz,median_cn0_db_hz,min_cn0_db_hz,mean_elevation_deg,median_elevation_deg,min_elevation_deg,weak_signal_count,very_weak_signal_count,low_elevation_count,very_low_elevation_count,position_error_m
16.0,7,32.385714285714286,31.8,25.0,43.78061483034436,47.48047050917654,19.756578384361543,0,0,0,0,33.79191596457942
17.0,7,33.542857142857144,32.6,27.9,43.78088950843674,47.48869041711833,19.75163871312768,0,0,0,0,46.559075918099
18.0,7,33.042857142857144,32.7,27.8,43.781160993528296,47.49706183817007,19.74670140933281,0,0,0,0,48.142130400987895
19.0,8,31.7875,31.650000000000002,19.3,38.880894901564226,40.72371052635803,4.577231774441095,1,0,1,1,32.99354360297623
20.0,8,32.987500000000004,32.85,20.2,38.881804176669164,40.72475932652851,4.582642448308339,0,0,1,1,34.15304289642992
21.0,7,34.82857142857143,35.8,28.9,43.78195726365231,47.52178312865478,19.73184010344566,0,0,0,0,38.896352519796665
22.0,7,35.457142857142856,36.5,29.7,43.782220868758984,47.53006976385612,19.726882150710203,0,0,0,0,35.70423837656613
23.0,7,35.34285714285714,37.5,27.3,43.782475770750786,47.53839139231859,19.72191195862461,0,0,0,0,38.833795735374
24.0,7,35.114285714285714,37.2,28.1,43.78272980590486,47.54669887278077,19.7169362516647,0,0,0,0,32.10838259354953
25.0,7,35.25714285714286,37.0,29.6,43.78298832837835,47.5549449930258,19.7119775366196,0,0,0,0,30.20657577892218
26.0,7,34.45714285714286,36.8,27.9,43.78324781771689,47.56327085168344,19.70701746553713,0,0,0,0,28.037893108887456
27.0,8,32.8375,33.1,22.0,38.888137334798095,40.732139393508916,4.620490807209329,0,0,1,1,47.65424752262516
28.0,8,33.175,33.900000000000006,21.2,38.88905028957189,40.733196810813595,4.625909166139506,0,0,1,1,62.44363106464805
29.0,8,33.3,33.9,21.5,38.889958984609805,40.73426194819156,4.631316677239648,0,0,1,1,45.97440958223365
30.0,8,32.7375,33.8,18.9,38.89085410263335,40.73531479788385,4.636734680813755,1,0,1,1,84.67140397214229
31.0,8,32.9625,33.45,19.0,38.89176410025302,40.736379194031166,4.6421448707873925,1,0,1,1,56.22969780879851
32.0,8,33.9875,34.75,21.7,38.89266979073797,40.737433748174674,4.647551426060438,0,0,1,1,62.20426467019663
33.0,7,35.9,38.3,29.2,43.78507707948295,47.62127404523336,19.67234811738973,0,0,0,0,36.59200471478296
34.0,7,34.95714285714285,36.6,28.9,43.785335788316594,47.629507276067,19.667396608375785,0,0,0,0,31.96991389293433
35.0,7,35.642857142857146,37.8,29.5,43.78559337442649,47.63780628442085,19.662439845514907,0,0,0,0,31.54785242683046
36.0,7,35.714285714285715,38.2,29.0,43.785843202499564,47.64610102489132,19.657469206728447,0,0,0,0,29.707823762539174
37.0,7,36.34285714285714,39.0,28.7,43.786097906324926,47.6543708956652,19.652510245658465,0,0,0,0,27.815881423788237
38.0,7,35.65714285714286,38.2,28.0,43.7863543465104,47.66267588124119,19.64756418895225,0,0,0,0,35.34977558792954
39.0,7,36.357142857142854,38.8,30.3,43.78660933888288,47.67089080387672,19.64260328244592,0,0,0,0,28.338607237279856
40.0,7,35.15714285714286,38.0,28.9,43.7868639145563,47.67925844598618,19.637654195281065,0,0,0,0,28.897290023188752
41.0,8,33.7875,35.35,20.4,38.900759118024624,40.74694576961372,4.696259164622213,0,0,1,1,33.333581807152406
42.0,7,35.58571428571428,37.4,29.2,43.78736402982532,47.69577422631993,19.62772471737087,0,0,0,0,26.221154821567527
43.0,7,35.7,37.5,28.9,43.787627479031016,47.70400382205639,19.62278604503392,0,0,0,0,32.511842175446816
44.0,7,35.957142857142856,37.3,31.3,43.78787554448212,47.71230372919007,19.617821446373377,0,0,0,0,23.504765868739188
45.0,7,35.128571428571426,37.2,28.5,43.78812844113646,47.72058539076601,19.61286128950889,0,0,0,0,24.990609763068026
46.0,7,35.57142857142857,37.9,27.2,43.78839187273869,47.72885306774,19.60793274429632,0,0,0,0,31.701052561092663
47.0,7,35.17142857142857,37.2,26.8,43.78863539480334,47.73720538099722,19.60296014792168,0,0,0,0,31.527947229667657
48.0,7,35.51428571428571,37.1,26.7,43.78889094860218,47.74544399014371,19.598014365336915,0,0,0,0,35.331170128498584
49.0,7,34.971428571428575,36.8,26.0,43.7891455520602,47.75370028105014,19.593063987535803,0,0,0,0,38.694193484566064
50.0,7,34.32857142857143,37.8,25.1,43.789396379464506,47.76196883106791,19.58811043766508,0,0,0,0,41.76678218482306
51.0,7,34.77142857142857,37.8,26.4,43.789632830123445,47.77029010530582,19.583136213728626,0,0,0,0,29.271836574739964
52.0,7,35.5,38.2,27.7,43.78988741291911,47.77852649937658,19.57818903018427,0,0,0,0,34.00958652123224
53.0,7,35.72857142857143,37.4,29.3,43.79013813103309,47.78679703442887,19.57323712684956,0,0,0,0,35.117257578872
54.0,7,35.57142857142857,36.9,29.1,43.7903897896732,47.7950994896661,19.56828837239429,0,0,0,0,39.04242438716746
55.0,7,35.48571428571429,36.1,30.3,43.7906269484436,47.8033974884829,19.563310087869866,0,0,0,0,34.427356623074054
56.0,7,35.41428571428571,35.6,30.7,43.79087192237157,47.81170892598239,19.558352625350395,0,0,0,0,35.24938291487156
57.0,7,35.91428571428572,36.1,30.4,43.79111582575557,47.819990427814496,19.553393173268383,0,0,0,0,35.46032258568599
58.0,7,35.72857142857142,36.5,30.2,43.79135645894899,47.82827778718583,19.5484216525968,0,0,0,0,41.82651183603009
59.0,7,35.71428571428571,36.6,29.9,43.79159814767833,47.83656446591164,19.543458524981144,0,0,0,0,29.744721405530758
60.0,7,34.885714285714286,36.0,29.4,43.79183770873693,47.84485824245335,19.538498406798453,0,0,0,0,29.14890089064345
61.0,7,34.699999999999996,35.5,28.6,43.7920756479968,47.85320806652348,19.53352547427573,0,0,0,0,30.08945269886129
62.0,7,35.542857142857144,35.9,29.2,43.79232889740818,47.86141477944732,19.52858750637047,0,0,0,0,31.38914790491014
63.0,7,35.25714285714286,36.2,29.5,43.79257233167397,47.869752025374645,19.523635571315538,0,0,0,0,47.22909521476538
64.0,7,34.84285714285715,36.3,28.2,43.792807757390314,47.87802069200284,19.51866720925304,0,0,0,0,30.0734260305659
65.0,7,34.25714285714285,35.6,28.0,43.79305112163722,47.88629710479361,19.513712012118475,0,0,0,0,41.21863972166797
66.0,7,34.07142857142857,35.6,24.7,43.79329779879329,47.89460261124826,19.50876133604176,0,0,0,0,34.50243124074773
67.0,7,35.300000000000004,36.8,28.4,43.793530632191995,47.90288626648136,19.50379392547149,0,0,0,0,46.944951838422185
68.0,7,35.357142857142854,37.3,28.3,43.793770022455476,47.91115972739863,19.498830342068885,0,0,0,0,32.55211444668127
69.0,7,35.214285714285715,36.8,28.5,43.794010203548034,47.91943385214801,19.49387473724476,0,0,0,0,28.89065704573119
70.0,7,34.642857142857146,36.5,29.3,43.794257458635435,47.92768547228869,19.48892894206555,0,0,0,0,34.267002011951675
71.0,8,32.712500000000006,35.2,15.2,38.927529256409215,40.7787894371311,4.858813631027493,1,0,1,1,101.2716988195014
72.0,7,35.12857142857143,35.7,30.4,43.79472892833114,47.94430682610965,19.47901083809548,0,0,0,0,33.120604890381955
73.0,8,33.475,35.05,18.9,38.92929534048798,40.78093238991397,4.869654806156299,1,0,1,1,100.99278425174364
74.0,8,33.225,34.2,20.4,38.93017856898835,40.78199851148902,4.875073643180018,0,0,1,1,79.56059730730026
75.0,8,32.65,34.2,19.2,38.931063558469745,40.78306781139827,4.8805003354267695,1,0,1,1,86.28749725891839
76.0,8,33.237500000000004,34.15,19.8,38.93195448541139,40.78414099987833,4.885925411235126,1,0,1,1,81.01496179278939
77.0,7,35.614285714285714,35.9,32.1,43.795897362002854,47.985743589471895,19.45419022542488,0,0,0,0,30.335620716754192
78.0,8,33.3875,34.75,17.5,38.93371622058028,40.786266350605544,4.896774394127751,1,0,1,1,90.48842763396225
79.0,8,33.712500000000006,34.5,18.4,38.93459826241601,40.78734778795376,4.902193563840213,1,0,1,1,73.19332625232627
80.0,8,33.575,34.349999999999994,20.9,38.93547638610668,40.78839787882184,4.907621048003012,0,0,1,1,62.14869825774427
81.0,8,32.9875,34.55,17.8,38.93635649611006,40.78946078557469,4.913049893722599,1,0,1,1,110.47930818066165
82.0,7,35.542857142857144,34.3,31.2,43.79705918770527,48.02721287734597,19.42938565317713,0,0,0,0,28.11040112986375
83.0,8,33.9375,34.6,19.1,38.93811146668402,40.791604769921285,4.923892637180892,1,0,1,1,65.8355148255692
84.0,8,33.9125,35.15,18.0,38.93899864559016,40.79267149326819,4.929322496479963,1,0,1,1,66.31933270693
85.0,7,35.199999999999996,34.7,29.5,43.79775791455637,48.0520420749703,19.41452119123888,0,0,0,0,31.52762912455026
86.0,8,32.95,34.5,17.2,38.94076179435928,40.79481348025699,4.940169364001042,1,0,1,1,84.68599416530132
87.0,7,35.12857142857143,35.1,29.5,43.7982183011245,48.06861161654973,19.40460209063135,0,0,0,0,31.529396847343538
88.0,7,35.228571428571435,35.3,29.7,43.79844100624239,48.07692016937375,19.399634147378706,0,0,0,0,31.627162251921447
89.0,7,35.35714285714286,35.5,29.3,43.7986713523026,48.08520425090251,19.3946701581091,0,0,0,0,35.39696355760586
90.0,7,34.885714285714286,34.6,29.4,43.798889734781234,48.09348685040142,19.38969700405832,0,0,0,0,30.09489505091855
91.0,7,34.9,34.1,30.0,43.7991248517397,48.10174106585693,19.384748185651524,0,0,0,0,35.013391565803005
92.0,7,34.457142857142856,34.0,29.6,43.799351878262364,48.11010585962667,19.379792485622023,0,0,0,0,38.117618533426025
93.0,7,35.1,34.2,30.6,43.79958329768723,48.118325836341015,19.374840655609304,0,0,0,0,36.971338094793246
94.0,7,35.1,33.8,30.4,43.79979436336231,48.12669189967035,19.3698484957719,0,0,0,0,39.62326199465271
95.0,7,34.52857142857143,33.9,28.9,43.80002720134758,48.134903708625785,19.364899268575023,0,0,0,0,44.79223592683792
96.0,7,34.9,34.4,29.4,43.800246171353656,48.1432128851755,19.35993129679646,0,0,0,0,47.021270232255816
97.0,7,35.42857142857143,35.5,29.9,43.800473507675086,48.15145768492402,19.35496978411667,0,0,0,0,48.96167870733144
98.0,7,35.642857142857146,36.4,29.8,43.800689752908546,48.159787651696135,19.35000023523472,0,0,0,0,44.06402822558111
99.0,7,35.371428571428574,36.8,26.0,43.80092011365954,48.16806172862567,19.345047257392,0,0,0,0,48.92189407926519
100.0,7,35.24285714285714,36.1,26.5,43.8011399364897,48.1763735323672,19.340083102590345,0,0,0,0,55.64556086262019
101.0,7,34.82857142857143,36.0,25.5,43.80136224889901,48.18465994723974,19.33512516251088,0,0,0,0,52.23363609589841
102.0,7,34.74285714285715,35.7,28.6,43.801582081607194,48.19292353096075,19.33015626512267,0,0,0,0,43.8102786762253
103.0,7,35.48571428571429,35.6,29.9,43.801805931682324,48.20120480642715,19.325200077838662,0,0,0,0,45.18542673956658
104.0,7,35.25714285714286,35.6,30.6,43.8020318205983,48.20947885410136,19.32024632112521,0,0,0,0,49.37050240748275
105.0,7,35.01428571428572,34.9,31.4,43.80224585748327,48.21779979599005,19.31528054236584,0,0,0,0,43.093826767417966
106.0,7,35.385714285714286,35.9,31.3,43.80246122219232,48.22612045323767,19.310307157890545,0,0,0,0,49.21399007622837
107.0,7,35.41428571428571,35.5,30.8,43.80268951166642,48.234317216538685,19.30536110342254,0,0,0,0,67.01047812593164
108.0,7,35.75714285714286,35.8,31.1,43.80290143096344,48.24266400964319,19.300390562878963,0,0,0,0,49.93288737635819
109.0,7,35.62857142857143,34.7,31.1,43.803107016717675,48.25097501744854,19.29540271720481,0,0,0,0,45.82065658622709
110.0,7,35.728571428571435,34.9,32.6,43.8033328367247,48.2591950192356,19.2904572915182,0,0,0,0,43.84283467453317
111.0,7,35.7,35.1,31.2,43.80355045820197,48.26750056343737,19.2854981839072,0,0,0,0,48.77175128936604
112.0,7,35.628571428571426,34.8,31.5,43.80375462840048,48.27584030436399,19.28051314525656,0,0,0,0,44.1013244757705
113.0,7,35.628571428571426,34.8,31.6,43.803976880814254,48.284112057053015,19.275565426559165,0,0,0,0,49.94306379873655
114.0,7,35.42857142857143,35.1,30.9,43.804189368082625,48.29236160998214,19.27059585246236,0,0,0,0,47.2212199514525
115.0,7,34.88571428571428,35.4,29.0,43.80439949360368,48.30069690113886,19.26562588348808,0,0,0,0,40.21527064308821
116.0,7,35.385714285714286,36.2,30.4,43.80460819174895,48.30899137987844,19.260656911722737,0,0,0,0,37.66430117324953
117.0,7,35.92857142857143,36.5,29.9,43.80481791413154,48.31732515405596,19.255683452390265,0,0,0,0,45.92155946795168
118.0,7,36.18571428571429,36.2,30.0,43.805025709136636,48.32558808149879,19.25071320216774,0,0,0,0,32.436865011526386
119.0,7,36.57142857142857,36.4,32.1,43.805238909834394,48.33388398539178,19.24575715457591,0,0,0,0,33.318505606677434
120.0,7,36.02857142857143,36.1,30.3,43.80544213604644,48.34219242311785,19.240770215748075,0,0,0,0,29.98665527984133
121.0,7,35.98571428571428,35.5,31.4,43.805657137687014,48.35048031470652,19.23581955484045,0,0,0,0,36.21874010049072
122.0,7,36.857142857142854,36.4,32.3,43.80586936661266,48.35878242184622,19.23085839974369,0,0,0,0,37.74498450152138
123.0,7,36.642857142857146,36.1,32.1,43.80608523182916,48.36703896964416,19.225906268665035,0,0,0,0,41.40442862676161
124.0,7,36.24285714285714,36.4,31.4,43.806283919146594,48.37536113427099,19.22092776218629,0,0,0,0,40.30949122921932
125.0,7,36.214285714285715,37.0,30.8,43.80649621955637,48.38361705209736,19.21596816234837,0,0,0,0,39.33023687491039
126.0,8,33.275,35.6,13.7,38.4234051269355,40.837729895071334,0.7403046752764643,1,1,1,1,121.8264710037147
127.0,7,36.371428571428574,37.0,32.1,43.80691204899042,48.4001980130625,19.20604189797191,0,0,0,0,36.56810059030381
128.0,7,36.4,36.7,31.9,43.80711817464176,48.40851335149713,19.201080284119342,0,0,0,0,38.5924758108852
129.0,7,36.22857142857143,36.3,31.0,43.80732279311436,48.416761552015,19.1961051730502,0,0,0,0,32.45992223822554
130.0,7,35.98571428571429,36.2,30.3,43.80753359524846,48.425006300781966,19.19114777063424,0,0,0,0,33.240110881863494
131.0,7,36.41428571428572,37.2,32.0,43.807731141809214,48.43331895095872,19.186177331079165,0,0,0,0,31.54790494698576
132.0,7,36.114285714285714,36.1,31.0,43.80793629002467,48.44166288401705,19.18120800326917,0,0,0,0,42.8058870885597
133.0,8,33.2625,35.7,13.2,38.424333070300364,40.84526938548882,0.7376690741280367,1,1,1,1,175.6978853942495
134.0,8,33.8125,35.5,19.8,38.98241839258902,40.84634405518666,5.201009520334785,1,0,1,1,50.07032169441241
135.0,7,35.214285714285715,35.2,30.3,43.808544020268634,48.4665040614927,19.16630892657693,0,0,0,0,38.43919343445096
136.0,7,35.92857142857143,35.4,31.6,43.8087471748918,48.474808018945694,19.16134642444422,0,0,0,0,33.92800973752191
137.0,8,33.175,34.8,13.7,38.42482473950801,40.84958283714526,0.7360525648288219,1,1,1,1,126.7991408823344
138.0,7,35.82857142857143,36.8,30.8,43.80914058165298,48.49141753793617,19.151397751090595,0,0,0,0,32.331734200163524
139.0,7,35.81428571428572,37.5,30.4,43.80934172184611,48.49968057158022,19.146431708372937,0,0,0,0,33.06450242665672
140.0,7,34.98571428571429,36.7,28.1,43.809533594134,48.50802154919284,19.14144973922689,0,0,0,0,33.15529066845897
141.0,7,34.24285714285714,35.7,26.6,43.809737996556365,48.51629507795582,19.136490289611608,0,0,0,0,37.328762087428665
142.0,7,35.142857142857146,36.2,29.1,43.809924239887614,48.52460567398453,19.13150383092798,0,0,0,0,29.820468099597576
143.0,7,35.04285714285714,36.5,28.5,43.81012740389398,48.53286571179319,19.126548734820148,0,0,0,0,30.471024098250435
144.0,7,34.41428571428571,36.4,28.0,43.81032834894967,48.54115162082675,19.12158494073176,0,0,0,0,31.5585990838462
145.0,7,33.457142857142856,35.7,26.2,43.810527700502696,48.54945433745757,19.116628345168653,0,0,0,0,38.83149154378934
146.0,7,34.871428571428574,36.1,27.5,43.81071364310724,48.55776006994252,19.11163233044709,0,0,0,0,29.6736036896299
147.0,7,34.67142857142857,36.3,28.3,43.81090874333089,48.566069058555286,19.106667977629755,0,0,0,0,27.109109626194392
148.0,7,34.042857142857144,34.7,28.3,43.81110995875072,48.57430234419817,19.101702754437422,0,0,0,0,32.237677304558034
149.0,8,32.075,33.3,11.3,38.42630974893604,40.86255609400234,0.731333704531183,1,1,1,1,130.9743581165106
150.0,7,33.971428571428575,35.0,28.7,43.81150349037232,48.59091055032012,19.09178470006835,0,0,0,0,28.820543818916715
151.0,7,34.457142857142856,36.2,27.1,43.811697509750175,48.59917538412575,19.08681980410099,0,0,0,0,37.961925108624506
152.0,7,34.300000000000004,36.0,27.8,43.811889130940145,48.60748433362911,19.081850175375774,0,0,0,0,43.744946868565314
153.0,7,34.128571428571426,36.0,27.3,43.81207714419786,48.61575838809803,19.076870952785075,0,0,0,0,25.307258492291325
154.0,7,34.385714285714286,36.7,27.6,43.81227027146974,48.62407611726069,19.071909801179647,0,0,0,0,38.7003962998977
155.0,7,33.85714285714286,36.2,27.1,43.8124612219363,48.63234956297502,19.06694021519344,0,0,0,0,34.96215755595818
156.0,7,34.44285714285714,36.8,27.4,43.81265390397456,48.64067389539757,19.061972400716773,0,0,0,0,43.77132500223781
157.0,7,34.971428571428575,37.7,28.1,43.81284669806849,48.64896641670556,19.05701256311958,0,0,0,0,41.98376542681972
158.0,7,34.371428571428574,36.9,27.6,43.813027812109276,48.65727115632764,19.05203036707405,0,0,0,0,45.49051588541576
159.0,7,34.885714285714286,37.3,29.1,43.81321933687246,48.66555070372924,19.04706054613114,0,0,0,0,35.33718689941737
160.0,7,34.114285714285714,35.7,26.5,43.813405581397184,48.67385192281317,19.042086198408075,0,0,0,0,36.76150630450292
161.0,7,33.91428571428572,35.5,27.3,43.81359528543732,48.68212076409715,19.03712902293565,0,0,0,0,40.15218152293316
162.0,7,34.542857142857144,36.6,28.8,43.81378372184564,48.69040245511995,19.03215737538808,0,0,0,0,32.71848617606043
163.0,7,34.84285714285715,36.8,28.3,43.81396193722433,48.69872518858546,19.027174143857284,0,0,0,0,33.55478409151016
164.0,7,34.72857142857142,36.7,28.2,43.814151075350786,48.70700071204483,19.022213906238232,0,0,0,0,34.17012758236479
165.0,7,34.028571428571425,36.7,26.0,43.81433618732671,48.71530602613728,19.01724155153656,0,0,0,0,33.32800277763107
166.0,7,33.357142857142854,36.7,24.3,43.81452163643759,48.723590918452,19.012273852110766,0,0,0,0,37.55759906301675
167.0,7,34.457142857142856,36.7,28.0,43.814700522545095,48.731907933902576,19.00729005601919,0,0,0,0,35.1123372890962
168.0,7,34.85714285714286,35.4,28.0,43.81488727281981,48.7401855039164,19.00232894092036,0,0,0,0,36.25066849128031
169.0,7,34.285714285714285,35.5,26.3,43.815067963103374,48.748457829902,18.9973488456802,0,0,0,0,30.68460602986074
170.0,7,34.27142857142858,34.3,27.5,43.81525440736932,48.75675158159727,18.992386970710864,0,0,0,0,32.780530570059696
171.0,7,34.457142857142856,35.3,27.7,43.81543464113616,48.76506306564097,18.987411767274374,0,0,0,0,32.67787347657454
172.0,7,34.44285714285714,35.5,27.7,43.81561584363181,48.77338176419132,18.982446486997173,0,0,0,0,36.91472919060006
173.0,7,34.885714285714286,35.0,29.0,43.815799404062325,48.78163946772371,18.977474681874067,0,0,0,0,33.07795073684809
174.0,7,34.614285714285714,34.8,29.3,43.815973823617426,48.78996314460706,18.97249270888482,0,0,0,0,34.532231474135465
175.0,7,34.57142857142857,34.6,29.7,43.816147881321264,48.7982686354614,18.96751103120687,0,0,0,0,39.58341104408815
176.0,7,34.457142857142856,34.4,29.8,43.8163279615323,48.80652113008632,18.96254149187302,0,0,0,0,38.94266059251634
177.0,7,35.285714285714285,35.0,31.1,43.81650691661686,48.81485064126824,18.95757785817712,0,0,0,0,41.84390339092325
178.0,7,35.285714285714285,34.4,30.6,43.81669281950627,48.82309848732064,18.952614804858896,0,0,0,0,40.63790701300929
179.0,7,35.17142857142857,34.4,31.3,43.81686618318942,48.83140455111632,18.94764191627078,0,0,0,0,38.97258208499149
180.0,7,35.1,34.3,31.2,43.8170355001189,48.83971562791096,18.942654768740013,0,0,0,0,29.87994958393943
181.0,7,35.12857142857143,34.4,30.5,43.817215750041164,48.84801612161326,18.937687728939625,0,0,0,0,40.07280105628777
182.0,7,35.51428571428571,35.2,30.9,43.817387346580624,48.8563298538574,18.932712879603496,0,0,0,0,37.64932299239533
183.0,7,35.41428571428572,36.0,30.3,43.81755868349706,48.86463427163226,18.92773517124801,0,0,0,0,34.21107186314388
184.0,7,35.81428571428571,36.7,31.9,43.81773270873593,48.87294703821045,18.922767577668623,0,0,0,0,34.4321313216274
185.0,7,35.49999999999999,35.3,31.7,43.817905780871946,48.88125305111343,18.91779108383945,0,0,0,0,36.29380696988871
186.0,7,35.18571428571428,35.2,30.2,43.818075370447175,48.88957578408328,18.912811575287087,0,0,0,0,35.11089182110105
187.0,7,35.68571428571428,36.1,31.9,43.81824165523171,48.89789911484779,18.90782747147085,0,0,0,0,31.61456896294957
188.0,7,35.9,36.4,30.7,43.81841992958198,48.90616803990758,18.9028699495926,0,0,0,0,32.663652941615936
189.0,7,36.08571428571428,36.1,30.7,43.81860031083645,48.91444733259174,18.897911574962432,0,0,0,0,46.71262297135642
190.0,7,35.6,36.5,31.5,43.818769301049024,48.92273700471428,18.892933248062047,0,0,0,0,46.73767435204074
191.0,7,35.84285714285714,36.4,32.4,43.81894100141961,48.93104256972831,18.887963629940387,0,0,0,0,47.04316123299905
192.0,7,35.65714285714286,36.3,32.1,43.81911126133094,48.939314043798106,18.88299540249272,0,0,0,0,38.72768987521626
193.0,7,36.08571428571429,36.3,32.4,43.81927889297024,48.947616817696925,18.8780225261006,0,0,0,0,36.31805004391234
194.0,7,36.25714285714285,36.7,32.2,43.81944064767286,48.955926703897575,18.87303949662116,0,0,0,0,32.0907047723305
195.0,7,36.18571428571429,36.9,32.0,43.819607712022126,48.964226792944295,18.86806257892632,0,0,0,0,37.05138653373678
196.0,7,35.800000000000004,37.5,30.5,43.81978015208201,48.97250585461685,18.86310354401813,0,0,0,0,39.522548866188615
197.0,7,35.67142857142857,37.2,28.9,43.81994341258685,48.98084271077771,18.858122975762782,0,0,0,0,35.55631759746372
198.0,7,36.00000000000001,38.2,29.3,43.82011429615108,48.98910592073522,18.85315345508908,0,0,0,0,48.26814764665338
199.0,7,34.457142857142856,35.8,26.8,43.82027275868517,48.997442162783976,18.84817081681701,0,0,0,0,37.28515379553808
200.0,7,34.72857142857143,36.7,29.9,43.820443960619365,49.00565748808612,18.84319818639283,0,0,0,0,37.76205699054427
201.0,7,34.54285714285714,36.4,28.7,43.820613994287775,49.01397342582529,18.838238218253373,0,0,0,0,49.17220110436941
202.0,7,35.65714285714286,36.2,31.1,43.820774077955356,49.022280599197806,18.8332569528703,0,0,0,0,38.568086576718365
203.0,7,35.31428571428572,35.6,30.0,43.820941017585675,49.03058637680471,18.828288938784965,0,0,0,0,47.56533757037072
204.0,7,35.528571428571425,37.5,29.5,43.82110319268021,49.03888228183022,18.823312048954826,0,0,0,0,56.299277722163225
205.0,7,34.642857142857146,36.7,28.4,43.82126776319173,49.04716840195504,18.818345581509192,0,0,0,0,69.87114695518184
206.0,7,34.9,37.3,28.3,43.82142757854839,49.05544804174392,18.81336452076661,0,0,0,0,66.61750879764607
207.0,7,34.9,37.6,28.8,43.821583291647926,49.06379226201667,18.808382247747456,0,0,0,0,59.331098064031366
208.0,7,35.042857142857144,38.0,28.9,43.82174093725376,49.07210790375417,18.80340208011379,0,0,0,0,61.94166078052076
209.0,7,35.24285714285714,38.5,28.2,43.8219072201854,49.0803705679465,18.79843306404744,0,0,0,0,62.517135735086846
210.0,7,34.32857142857143,37.4,27.9,43.82205907449592,49.08870364772628,18.7934536427564,0,0,0,0,63.79834106230194
211.0,7,33.957142857142856,37.9,25.5,43.82221230199074,49.0970268810062,18.78846330737409,0,0,0,0,69.39888486903412
212.0,7,33.27142857142858,37.8,23.3,43.82236834654852,49.10531304610371,18.78348731834972,0,0,0,0,60.03725082748989
213.0,7,33.599999999999994,37.9,25.5,43.822525042126934,49.1136209515797,18.77850594526109,0,0,0,0,48.17972937265656
214.0,7,33.25714285714286,37.7,22.8,43.82267843972121,49.121941715556126,18.7735349554992,0,0,0,0,47.93453996574164
215.0,7,33.457142857142856,37.1,24.6,43.822840325918264,49.13020391542543,18.76856679286528,0,0,0,0,53.75495597633171
216.0,7,33.74285714285714,37.9,24.8,43.82299783682738,49.13852764621287,18.76359312547308,0,0,0,0,58.29184626383025
217.0,7,34.74285714285715,38.1,28.2,43.823150512240026,49.146824702194415,18.758616929625088,0,0,0,0,53.39277710335667
218.0,7,35.4,38.4,29.2,43.82329669625718,49.15512236613119,18.753623100895776,0,0,0,0,48.08093572764575
219.0,7,35.82857142857143,38.0,30.3,43.823452692547654,49.16341798380152,18.748652928038748,0,0,0,0,37.14596842822292
220.0,7,34.84285714285714,38.2,28.3,43.823606613884216,49.17170755738026,18.743682223579857,0,0,0,0,48.32047115110089
221.0,7,34.15714285714285,38.0,27.2,43.82376065116387,49.179981222324045,18.738701377863848,0,0,0,0,57.71953804254661
222.0,7,34.285714285714285,37.8,26.9,43.82391559759502,49.18828706045139,18.73373110802672,0,0,0,0,67.06768010700691
223.0,7,34.114285714285714,38.3,24.4,43.824062431723,49.19660445590527,18.72875227041704,0,0,0,0,63.01733158731264
